time,artist,song,album,album_label,album_year,note,url
9:25 AM,Daniel Romano,All the Reaching Trims,Finally Free,New West Records,2018,This guy is one of the more interesting singer/songwriters to come along in a while. ,https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
9:30 AM,Steve Gunn,Luciano,The Unseen In Between,Matador,2019,Fascinating singer songwriter who used to play guitar in Kurt Vile's band. ,https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
9:36 AM,Uncle Tupelo,No Sense In Lovin',Anodyne,Sire/Reprise,1993,"Twenty-six years ago, they released their final album. ",https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
9:40 AM,The Flatlanders,Go to Sleep Alone,Wheels of Fortune,New West Records,2004,A Jimmy Dale Gilmore masterpiece!,https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
9:44 AM,Professor Longhair,Mess Around,Live on the Queen Mary,Paul McCartney Catalog,2019,They're re-releasing this masterpiece of live recordings.,https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
9:48 AM,Big Joe Turner,Tomorrow Night,Rhythm & Blues Years,Atlantic,1986,Turner's take on the Lonnie Johnson classic. ,https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
9:50 AM,Smokey Robinson & The Miracles,That's What Love Is Made Of,Ooo Baby Baby: The Anthlogy,UNI/MOTOWN,2002,"Sugar and spice and all things nice, ya know. ",https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
9:53 AM,Ricky Nelson,I'll Make Believe,Rick Is 21 (Remastered),Capitol Records,2015,Featuring some great James Burton guitar. ,https://spinitron.com//KDHX/pl/8298700/Sound-Salvation
6:58 AM,Procol Harum,Shine On Brightly,Shine On Brightly,A&M,1968,"Everything comes together on this, keyboards, vocals, guitar - what a great band.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:02 AM,Small Faces,Here Comes the Nice,Here Come the Small Faces,Atom,2004,What is this nice bringing with him?,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:05 AM,Delaney & Bonnie & Friends,I Don't Want to Discuss It,On Tour With Eric Clapton,Atlantic,1970,"Last week I played this by Rod Stewart - I hadn't heard the Delaney & Bonnie version, but Tony C hepped me to it, and I like this one even more.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:10 AM,Little Richard,I Don't Want to Discuss It,The Explosive Little Richard,Edsel,1967,"Then there's this version, which I also learned about from Tony C. Where would this show be without Facebook?",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:16 AM,Robin Rogers,Don't Walk Away Run,Back In the Fire,blind pig,2010,An amazingly talented blues singer & harp player who has sadly been diagnosed with inoperable liver cancer.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:22 AM,David Johansen,Frenchette,David Johansen,Razor & Tie,1978,"Let's just dance! I stole this idea from Bob Reuter, who posted an incredible live version he found on youtube. This album was one of the first I fell in love with in my nascent new wave days back in 78, with the radio barely picking up KWUR every weekend",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:29 AM,Richard Barone,1-2-3. . . Infinity,The Glow,Bar/None Records,2010,"1-2-3 . . . infinity and all the stuff in between. That's a lot of stuff. Brings me back to when I was 7 or 8, and some older kid was holding court on the subject of infinity.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:34 AM,Tom Verlaine,"Cry Mercy, Judge",Flash Light,I.R.S.,1987,First track on my fave post-Television solo record by one of America's greatest songwriters/guitarists.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:39 AM,Psychedelic Furs,No Tears,Talk Talk Talk,Columbia,1981,Thanks to Dominic Schaefer for putting this gem back in my head the other day. Still love the Furs.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:43 AM,Ike Reilly,Girls in the Back Room,Hard Luck Stories,Rock Ridge,2009,The promise of a happy ending is all in the palm of their hands.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:47 AM,Heart,There You Go,Red Velvet Car,Legacy,2010,I'm not really sure that a velvet car is practical. But it makes for a good record.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:50 AM,Robert Plant,The Only Sound That Matters,Band Of Joy,Rounder,2010,"What an astoundingly beautiful cut - I'm not familiar with this song, but I absolutely love it.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:55 AM,Justin Townes Earle,Wanderin',Harlem River Blues,Bloodshot,2010,"Sounds like one of those lost Woody Guthrie songs, but young Mr. Earle wrote it himself.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:01 AM,Tim Easton,Hummingbird,Break Your Mother's Heart,New West,2003,A lot of times I forget to play music from the last 10 years before the current one. This is such a great song to remember.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:05 AM,Dave Alvin & Christy McWilson,Here in California,Live at KDHX Vol. 8,KDHX,2010,"If you support us during the membership drive next week, you get one of these nifty live CDs w/lots of great artists.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:11 AM,Leonard Cohen,That Don't Make It Junk,Songs From the Road,Columbia,2010,I fought against the bottle but I had to do it drunk / Took my diamond to the pawn shop but that don't make it junk.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:17 AM,Neil Young,Surfer Joe & Moe the Sleaze,Re-ac-tor,Reprise,1981,More cowbell kicks off with this under-recognized gem from Neil Young.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:21 AM,Humble Pie,The Fixer,Smokin',A&M Records,1972,Humble Pie probably belong in the cowbell hall of fame for devotion above & beyond the call of duty to that little clanger.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:26 AM,The Byrds,You Got a Reputation,Sweetheart of the Rodeo (Legacy Edition),Columbia Legacy,1997,A rare use of cowbell on a Byrds rarity.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:29 AM,Janiva Magness,"Slipped, Tripped & Fell in Love",The Devil is an Angel Too,Alligator,2010,It was a great week for cowbell - every time I turned around I heard some more of it - this blues cut is chock full.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:34 AM,Raul Malo,Sinners & Saints,Sinners & Saints,Fantasy,2010,I like an album that opens with a great fanfare.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:39 AM,El Guincho,FM Tan Sexy,Pop Negro,Young Turks,2010,Spanish dj who mixes up some tasty grooves that sound like actual songs.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:46 AM,Dungen,Vara Snabb,Skitt I Allt,Kemado,2010,Absolutely love this gorgeous jazzish instrumental that opens this album.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:49 AM,Geri Allen,Four By Five,Geri Allen & Timeline Live,Motema Music,2010,Thanks to Jen Eide for hepping me to this incredible new record from one of our greatest pianists.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
8:54 AM,John Legend & The Roots,Hard Times,Wake Up!,G.O.O.D. Music/Columbia,2010,You want funk? You want incredible soulful vocals in a variety of styles? You want some of the best r'n'b protest songs of the 70s reinterpreted? It's here!,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:03 AM,Roy Hargrove Quintet,Mr. Clean,Earfood,Universal International,2008,I threw this album on the other day - I'd forgotten this funky little gem hidden in there - like an acoustic version of Bitches Brew.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:09 AM,Lee Dorsey,You Better Tell Her,Funky As I Can Be!,Great American Music Company,2008,Just a blast of a song.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:11 AM,Mavis Staples,Don't Knock,You Are Not Alone,Anti-,2010,Opening the album with a classic Staples feel.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:16 AM,JJ Grey & Mofro,The Sweetest Thing,Georgia Warhorse,Alligator,2010,Papa Ray convinced me to check these guys out - very sweet & soulful. They'll be at Taste of St. Louis one week from tonight.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:20 AM,Macy Gray,The Sellout,The Sellout,Universal/Concord,2010,A sweet song of longing and loss.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:24 AM,Michael Franti & Spearhead,Hey hey Hey,The Sound of Sunshine,CAPITOL,2010,My fave hippie!,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:29 AM,John Hiatt,Thank You Girl,Bring the Family,A&M,1987,Ry Cooder plays some amazing guitar on this one.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:33 AM,Elvis Costello,So Like Candy,Mighty Like a Rose,Warner Bros.,1991,Elvis C sings one heck of a great torch song.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:38 AM,Big Star,Feel,#1 Record,Ardent,1972,Looking forward to an excellent evening at Off Broadway tonight as all sorts of local musicians pay tribute to Alex Chilton.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:42 AM,Alejandro Escovedo,Silver Cloud,Street Songs of Love,Fantasy,2010,Alejandro rocks!,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:45 AM,MARY WELLS,Oh Little Boy (What Did You Do To Me),Ultimate Collection,Motown,2008,One of the most heart-wrenching Motown records ever!,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:48 AM,Barbara Lynn,You're Gonna Need Me,You'll Lose a Good Thing,ITP,1962,"The b-side to ""You'll Lose a Good Thing"" is a cool & confident expectation of ultimate triumph.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:50 AM,Baby Washington,Move On,Oxford American 11th Edition Southern Music CD,Oxford American,2009,A classic song about speeding and avoiding the cops.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:52 AM,Shirley & Lee,Feel So Good,New Orleans,Time Life,2000,One of the most truthfully titled songs ever.,https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
9:55 AM,Ken Cook,Don't Be Runnin' Wild (Problem Child),The Best of Sun Rock 'n' Rll Vol. 1,SAAR,2000,"Sounds like Ooby Dooby by Roy Orbison, but it isn't.",https://spinitron.com//KDHX/pl/5409045/Sound-Salvation
7:02 AM,Sweet Honey In The Rock,Chant,Twenty-Five...,Ryko,1998,Something like 15 of the greatest live musical experiences of my life have been provided by this astounding collective.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:06 AM,Tom Russell,Beyond the Blues,Old Songs Yet To Sing,Frontera Records,2018,Tom and his prodigal long-time guitarist Andrew Hardin got together and revisited some of the classics.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:09 AM,Kate & Anna McGarrigle,Hommage à Grungie,Dancer With Bruised Knees,Carthage,1977,Kate McGarrigle sings about working.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:14 AM,Peter Hammill,Sleep Now,The Calm (After the Storm),Charisma Catalogue,1993,"I'm not a parent, but this song says things about what that experience must be like that I haven't heard or seen anywhere else.",https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:18 AM,Paul Weller,Gravity,True Meanings,Parlophone UK,2018,This struck me as especially beautiful.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:22 AM,The War and Treaty,Jeep Cherokee Laredo,Healing Tide,Thirty Tigers,2018,This cut is just a barn burner!,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:26 AM,Sharon Jones & The Dap-Kings,You'll Be Lonely,Give The People What They Want,Daptone,2014,"The longer we go on since she passed away, the more I appreciate her mammoth talent.",https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:29 AM,The Blind Boys of Alabama,Morning Train,"Absolutely the Best of Gospel, Vol. 3",Fuel 2000,2000,Clarence Fountain was the spectacular lead singer of this group for decades.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:32 AM,Amy Ray,Dadgum Down,Holler,Daemon / Compass,2018,"As if there was any chance I could resist a song with the word ""dadgum"" in the title!",https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:36 AM,Johnny Irion,Angels Fly,Driving Friend,RTE 8,2018,Talented songwriter whose great uncle was John Steinbeck.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:40 AM,The Walker Brothers,The Sun Ain't Gonna Shine Anymore,Walker Brothers: The Collection,Spectrum,1996,It must have been interesting having new singles from these guys and the Righteous Brothers coming out in rapid succession back in the day.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:43 AM,Gene Pitney,True Love Never Runs Smooth,The Definitive Collection,Charly,1999,A Burt Bacharach song sung by one of his finest interpreters.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:46 AM,Elvis Costello & the Imposters,He's Given Me Things,Look Now,Concord,2018,More recent Bacharach co-write with Costello.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:50 AM,Paul McCartney,Hand In Hand,Egypt Station,CAPITOL,2018,Presumably Paul wasn't remembering his one-time collaborator Costello had a song with this title 40 years ago.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:53 AM,Villagers,Sweet Saviour,The Art of Pretending To Swim,Domino Recording Co,2018,I still need to sit down and seriously engage with this album - the snippets I've heard sound excellent as ever.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:01 AM,Duke Ellington & His Orchestra,Rumpus in Richmond,Never No Lament: The Blanton-Webster Band,RCA,2003,The Ellington Orchestra at one of the many heights of its powers.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:03 AM,The Time Jumpers,Nothing But the Blues,The Time Jumpers,Rounder Records,2012,This Nashville collective does the swing thing every now and again.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:07 AM,Ray Price,One More Time,Ray Price's Greatest Hits,Columbia,1961,This guy recorded hundreds of terrific songs in his very long career.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:11 AM,Pam Tillis,Train Without a Whistle,Rhinestoned,AGR Television Records,2007,"The second train song of the show (and Pat Wolfe played one near the end of his show, so the third in an hour and a half).",https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:15 AM,Falling Fences,Anna Lee,Falling Fences II,Falling Fences,2018,St. Louis band that put out its second collection of fantastic songs earlier this year.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:20 AM,The Gunbunnies,Break My Fall,Paw Paw Patch,Virgin,1990,Among my very favorite bands of their era - they played St. Louis quite a few times in their short-lived time together.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:24 AM,The Swimming Pool Q's,The Knave,The Swimming Pool Q's,A&M,1984,"Another of my fave bands, this one a few years before the last one. I never got to see them live, though.",https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:29 AM,Willie Nile,You Gotta Be a Buddha (In a Place Like This),Beautiful Wreck of the World,River House,2005,This week's ear-worm for me - now it can be yours!,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:33 AM,Spirit,Sweet Stella Baby,Clear,Ode/Epic/Legacy,1969,Spirit occupy a place entirely their own in music history - nobody else ever sounded quite like them.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:36 AM,The Electric Prunes,I Had Too Much to Dream (Last Night),I Had Too Much to Dream,Rhino/Warner Bros.,1967,One of the greatest psychedelic rock records of all time!,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:40 AM,Queen,Who Needs You,News of the World,Elektra,1977,I hear there's a movie out about these guys.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:43 AM,The Easybeats,Where Old Men Go,Easybeats Collection,Line,1989,How they rocked in Australia back in the 60s.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:45 AM,Uncle Tupelo,Anodyne,Anodyne,Sire/Reprise,1993,Wait - it's been 25 years since they released their last album? Seems less time than that since I saw their first show at Cicero's.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
8:51 AM,Dawes,Time Flies Either Way,Passwords,HUB Records,2018,Lovely song. I don't spend enough time thinking about how much these guys please me until I accidentally hear them again.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:01 AM,"Jamey Johnson, Willie Nelson, Chris Stapleton & Lee Ann Womack",Gotta Serve Somebody,"Muscle Shoals: Small Town, Big Sound",BMG,2018,This is an impressive group of folks tackling the Dylan number.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:10 AM,Alejandro Escovedo,Sonica USA,The Crossing,Yep Roc,2018,"""I saw the Zeros and they looked like me."" I can only imagine what that must have meant.",https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:13 AM,Kevin Gordon,Drunkest Man in Town,Tilt and Shine,Kevin Gordon,2018,One of my fave singer/songwriters these past dozen or so years.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:16 AM,The Jayhawks,Come Cryin' to Me,Back Roads and Abandoned Motels,Legacy,2018,Becoming my fave song on this fine new record.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:21 AM,Jill Sobule,Tomorrow Is Breaking,Nostalgia Kills,Pinko,2018,She's playing tonight at the Duck Room.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:23 AM,Manik Myk,Complicit (Space Force Edition),The World We Settle For,Manik Myk,2018,Myk pulls no punches in his assessment of current events.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:27 AM,Shooter Jennings,Living in a Minor Key,Shooter,Elektra Records,2018,Waylon's son hearkens back to some of his dad's style (though their voices are very different).,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:31 AM,Jackson Browne & David Lindley,For Everyman,Love Is Strange [Live],Inside,2006,These long time collaborators revisited some of their hits for this excellent live recording.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:36 AM,Prairie Rehab,Xs & Os,Houses,self-released,2018,Fine St. Louis band.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:42 AM,John Prine,Unlonely,The Missing Years,Oh Boy Records,1991,This album has so many great songs I'd completely forgotten this one for many years.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:46 AM,Nick Lowe,Lover Don't Go,The Impossible Bird,Rounder Records,1994,Nick Lowe - master of heartbreak songs.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:51 AM,William Elliott Whitmore,Ain't No Sunshine,Kilonova,Bloodshot Records,2018,Nice reconsideration of the Bill Withers classic.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
9:53 AM,Southern Culture on The Skids,Galley Slave (2018 B.C.),Bootleggers Choice,Kudzu Records,2018,Killer instrumental to end things up on an upbeat tone.,https://spinitron.com//KDHX/pl/5312112/Sound-Salvation
7:00 AM,Dinah Washington,Me and My Gin,The Bessie Smith Songbook,Mercury,1958,Master sings master.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:03 AM,Earl Bostic,Let's Ball Tonight - Part 1,Flamingo,Proper,2002,This saxophonist/singer was cooler than most people remember.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:06 AM,Ray Price,The Road of No Return,The Essential Ray Price 1951-1962,Columbia Legacy,1991,"Very early Ray Price, when he was under the spell of Hank Williams.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:09 AM,Dave Alvin,Johnny Ace is Dead,Eleven Eleven,Yep Roc,2011,"I've always liked this song, but it hit me the other day just how brilliantly Alvin tells this tale of tragedy backstage.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:14 AM,Ian Hunter & Mick Ronson,Big Time,Y U I Orta,Mercury,1989,"Did I see something about Hunter leading a reformed Mott the Hoople this year? Meanwhile, man this 30-year-old track rocks!",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:19 AM,Bruce Springsteen,Pay Me My Money Down,We Shall Overcome - The Seeger Sessions,Columbia,2006,I think this record was really terrific - Springsteen outside his comfort zone having a blast.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:23 AM,Thin Lizzy,The Rocker,Dedication: The Very Best Of Thin Lizzy,Mercury,1991,"This early single from these guys remains one of my faves from a mercurial band that often hit it exactly right. I assume they were thinking of ""Fire"" by Hendrix the whole time on this song.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:29 AM,Macy Gray,But He Loves Me,Ruby,Artistry Music,2018,"She's ignored by the public these past 20 years, but still makes excellent music.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:32 AM,Villagers,Fool,The Art of Pretending To Swim,Domino Recording Co,2018,"You say you want songwriting of depth and concision, of melodic grace and full of hooks? Why aren't you listening to these guys, then?",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:36 AM,The Educated Guess,Could You Learn To Love Me?,The Educated Guess,self,2015,This St. Louis band has more musical ambition than 98% of the rest of the world.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:40 AM,Paul Revere & The Raiders,Peace of Mind,The Legend of Paul Revere & The Raiders,Columbia,1991,"In the annals of great rock vocalists, Mark Lindsay ranks high.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:43 AM,Neil Young & Crazy Horse,When You Dance I Can Really Love (Live),Live Rust,Reprise,1979,Classic.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:46 AM,Billy F Gibbons,Second Line,The Big Bad Blues,Concord Records,2018,It's so great to hear Billy Gibbons playing in somewhat different but still powerful styles.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:50 AM,Kim Lenz & Her Jaguars,Guilty,Slowly Speeding,1122,2019,Still doing her rockabilly thing after 20 years.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:52 AM,Chuck Berry,St. Louis Blues,You Never Can Tell - His Complete Chess Recordings 1960-1966,Hip-O Select,2009,I love this loopy rockin' take on the familiar song.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
7:55 AM,Carl Hall,Just Like I Told You,You Don't Know Nothing About Love: The Loma/Atlantic Recordings 1967-1972,Omnivore,2015,Obscure but fantastic soul singer.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:01 AM,The B-52's,Planet Claire,B-52'S,Warner Brothers Records,1979,"I remember being very, very confused when I bought this record after New York Rocker raved them up for months. Eventually, I embraced it's brilliance.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:06 AM,ABBA,Super Trouper,Super Trouper,Atlantic,1980,You could spend a lifetime studying the brilliant composition skills of Benny and Bjorn.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:10 AM,Bird Streets,Betting On the Sun,Bird Streets,Omnivore,2018,"Gosh, I really enjoy this record.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:15 AM,Clive Gregson,Play the Fool,Strange Persuasions,Gregsongs Music,1985,One of my all-time fave singer/songwriters who never could attract the huge attention he deserved.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:19 AM,Richard Thompson,Needle and Thread,Live at the BBC,Universal,2011,"For a few years there, Clive Gregson was a member of Richard's band. He's not on this acoustic live cut, but hey - I just wanted to explain the connection.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:22 AM,Elvis Costello & the Imposters,Unwanted Number,Look Now,Concord,2018,"After only five months, the songs on this album sound like old faves.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:26 AM,Three Merry Widows,All Through the Day,I Was the Moon,self,2019,The return of a legendary St. Louis band!,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:31 AM,Amy Ray,Sparrow's Boogie,Holler,Daemon / Compass,2018,The Indigo Girl that always sounds better on her own.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:35 AM,Gibson Brothers,Everybody Hurts,Mockingbird,Easy Eye Sound,2018,"Well, why shouldn't there be a country version of the R.E.M. song?",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:39 AM,Jackie Ross,Take Me for a Little While,Selfish One: The Best Of,Master Classics Records,2011,I don't think I ever knew she was the one who sang this song I internalized a million years ago.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:42 AM,James Phelps,"Oh, What a Feeling",Chess Soul - A Decade of Chicago's Finest,Geffen* Records,1997,The Chicago soul scene of the 60s had all kinds of cool performers largely forgotten.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:45 AM,Marva Whitney,"I'm Tired, I'm Tired, I'm Tired (Things Better Change Before It's Too Late)",James Brown's Original Funky Divas,Polydor,1998,James Brown and his friends led the world in song title length sometimes.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:47 AM,Syl Johnson,The Love You Left Behind,Back For A Taste Of Your Love,HI,1973,The other great male singer at Hi Records in the 70s.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:50 AM,Teddy Thompson,The Next One,Bella,Verve Forecast,2011,Sometimes this is my fave Teddy album - sometimes it's his first record. They're pretty much all really good.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
8:54 AM,Joe Stickley,Armor & Ink,Wasn't It Pretty,Peola,2012,"Before he was formalized his band Falling Fences, Joe Stickley still made lovely records.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:01 AM,Iris DeMent,Mama Was Always Tellin' Her Truth,Sing the Delta,Flariella Records,2012,Iris always sings her truth.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:06 AM,The Stanley Brothers,The Rambler's Blues,As Good As It Gets - Bluegrass,Disky,2000,How many songs have been written about ramblers?,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:09 AM,Ray Wylie Hubbard,Wanna Rock and Roll,Lost Train of Thought,Misery Loves Co.,2004,I love when Ray Wylie rocks out a bit.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:13 AM,Robyn Hitchcock,Executioner,Eye,Yep Roc Records,1990,How many great songs has Robyn Hitchcock written? Hundreds.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:17 AM,Gary Walker & the Rain,I Can't Stand to Lose You,Album No. 1,Mercury,1968,"I wouldn't be surprised if Robyn Hitchcock owned this one - not a direct influence, but you know.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:21 AM,Nick Barbieri,Time on My Hands (feat. Steve Johnston & Jay Lauterwasser),Ellis Island - Single,Hollywood Recording Studio,2019,Another poetry adaptation from local rocker.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:24 AM,Daniel Romano,Between the Blades of Grass,Finally Free,New West Records,2018,"A quirky voice, but a solid songwriter.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:28 AM,Nicki Bluhm,Battlechain Rose,To Rise You Gotta Fall,Compass Records,2018,Another fine song on this very enjoyable record.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:31 AM,The Legendary Rich Gilbert,Burnt Babies Fear Fire,11:59,self,2019,Brilliant guitarist with his third fantastic solo album of instrumentals.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:35 AM,Paul Weller,Bowie,True Meanings,Parlophone UK,2018,I think it's a tribute song to David Bowie. It's definitely lovely.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:40 AM,Mark Knopfler,Floating Away,Down The Road Wherever,British Grove / Blue Note,2018,The man owns the niche he created shortly after Dire Straits broke up.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:45 AM,Yomo Toro,Usted (Bolero Mejicano),Las Manos De Oro,Xenophile,1995,"Wonderful Puerto Rican musician who plays the cuatro, a ten-stringed guitarish instrument.",https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:48 AM,Marvin Jackson,Top String Boogie,When You Rock and Roll,Collector Records,2004,A hoot of an instrumental.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:50 AM,Freddie Hart,Dig Boy Dig,Whistle Bait: 25 Rockabilly Rave-Ups,Legacy,2000,They don't write 'em like this no more.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
9:52 AM,Earl King,You Can Fly High,Let The Good Times Roll,Jasmine Records,2016,Raucous r&b.,https://spinitron.com//KDHX/pl/5308722/Sound-Salvation
